Code,Title,Description,Source
climateChangeAdaptation,Climate change adaptation,"Adjustment to actual or expected climate and its effects, in order to moderate harm or exploit beneficial opportunities.",OC4IDS
climateChangeMitigation,Climate change mitigation,Reduction of emissions or enhancement of the sinks of greenhouse gases.,OC4IDS
