Code,Title,Description
construction,Construction,The primary focus of this project is the construction of a new asset.
maintenance,Maintenance,The primary focus of this project is proactively identifying and addressing deficiencies in an existing asset to slow the deterioration of the asset.
rehabilitation,Rehabilitation,The primary focus of this project is reactively addressing significant deficiencies in an existing asset to stop the deterioration of the asset.
replacement,Replacement,The primary focus of this project is the replacement of an existing asset.
expansion,Expansion,The primary focus of this project is the expansion or upgrade of an existing asset.
decommissioning,Decommissioning,The primary focus of this project is the decommissioning of an existing asset.
