Code,Title,Description
construction,Construction,The related project is the initial construction of the set of infrastructure assets.
rehabilitation,Rehabilitation,The related project might result in the rehabilitation of the same set of infrastructure assets.
replacement,Replacement,The related project might result in the replacement of the same set of infrastructure assets.
expansion,Expansion,The related project might result in the expansion of the same set of infrastructure assets.
